Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Good or bad indicator
"[0DM,200DM]",36,all credits at this bank paid back duly,domesticappliances,3990,unknown,<1year,3,female:divorced/separated/married,none,2,no property,29, bank,own,1,0,1,no,yes,0
"[0DM,200DM]",24,existing credits paid back duly till now,car(used),11560,<100DM,"[1,4years]",1,female:divorced/separated/married,none,4,car or other,23,none,rent,2,1,1,no,yes,1
<0DM,18,existing credits paid back duly till now,car(new),4380,"[100,500DM]","[1,4years]",3,male:single,none,4,car or other,35,none,own,1,0,2,yes,yes,0
no checking account,6,critical account,car(new),6761,<100DM,"[4,7years]",1,male:single,none,3,no property,45,none,own,2,0,2,yes,yes,0
"[0DM,200DM]",30,nocreditstaken,business,4280,"[100,500DM]","[1,4years]",4,female:divorced/separated/married,none,4,car or other,26,none,rent,2,0,1,no,yes,1
<0DM,24,all credits at this bank paid back duly,car(new),2325,"[100,500DM]","[4,7years]",2,male:single,none,3,car or other,32, bank,own,1,0,1,no,yes,0
"[0DM,200DM]",10,all credits at this bank paid back duly,radio/television,1048,<100DM,"[1,4years]",4,male:single,none,4,real estate,23,stores,own,1,0,1,no,yes,0
no checking account,21,existing credits paid back duly till now,radio/television,3160,unknown,>=7years,4,male:single,none,3,life insurance,41,none,own,1,0,1,yes,yes,0
<0DM,24,all credits at this bank paid back duly,furniture/equipment,2483,"[500,1000DM]","[1,4years]",4,male:single,none,4,real estate,22,stores,own,1,0,1,yes,yes,0
<0DM,39,critical account,furniture/equipment,14179,unknown,"[4,7years]",4,male:single,none,4,life insurance,30,none,own,2,0,1,yes,yes,0
<0DM,13,critical account,business,1797,<100DM,<1year,3,male:single,none,1,life insurance,28, bank,own,2,0,1,no,yes,0
<0DM,15,existing credits paid back duly till now,car(new),2511,<100DM,unemployed,1,female:divorced/separated/married,none,4,car or other,23,none,rent,1,0,1,no,yes,0
<0DM,12,existing credits paid back duly till now,car(new),1274,<100DM,<1year,3,female:divorced/separated/married,none,1,real estate,37,none,own,1,0,1,no,yes,1
no checking account,21,existing credits paid back duly till now,car(used),5248,unknown,"[1,4years]",1,male:single,none,3,car or other,26,none,own,1,1,1,no,yes,0
no checking account,15,existing credits paid back duly till now,car(used),3029,<100DM,"[4,7years]",2,male:single,none,2,car or other,33,none,own,1,1,1,no,yes,0
<0DM,6,existing credits paid back duly till now,furniture/equipment,428,<100DM,>=7years,2,female:divorced/separated/married,none,1,life insurance,49, bank,own,1,0,1,yes,yes,0
<0DM,18,existing credits paid back duly till now,car(new),976,<100DM,<1year,1,female:divorced/separated/married,none,2,car or other,23,none,own,1,0,1,no,yes,1
"[0DM,200DM]",12,existing credits paid back duly till now,business,841,"[100,500DM]","[4,7years]",2,female:divorced/separated/married,none,4,real estate,23,none,rent,1,0,1,no,yes,0
no checking account,30,critical account,radio/television,5771,<100DM,"[4,7years]",4,female:divorced/separated/married,none,2,car or other,25,none,own,2,0,1,no,yes,0
no checking account,12,delay in paying off in the past,repairs,1555,>=1000DM,>=7years,4,male:single,none,4,no property,55,none,for free,2,0,2,no,yes,1
<0DM,24,existing credits paid back duly till now,car(new),1285,unknown,"[4,7years]",4,female:divorced/separated/married,none,4,no property,32,none,rent,1,0,1,no,yes,1
>=200DM,6,critical account,car(new),1299,<100DM,"[1,4years]",1,male:single,none,1,real estate,74,none,own,3,0,2,no,no,0
>=200DM,15,critical account,radio/television,1271,unknown,"[1,4years]",3,male:single,none,4,no property,39,none,for free,2,0,1,yes,yes,1
no checking account,24,existing credits paid back duly till now,car(new),1393,<100DM,"[1,4years]",2,male:single,guarantor,2,real estate,31,none,own,1,0,1,yes,yes,0
<0DM,12,critical account,car(new),691,<100DM,>=7years,4,male:single,none,3,life insurance,35,none,own,2,0,1,no,yes,1
no checking account,15,critical account,car(new),5045,unknown,>=7years,1,female:divorced/separated/married,none,4,car or other,59,none,own,1,0,1,yes,yes,0
<0DM,18,critical account,furniture/equipment,2124,<100DM,"[1,4years]",4,female:divorced/separated/married,none,4,real estate,24,none,rent,2,0,1,no,yes,1
<0DM,12,existing credits paid back duly till now,radio/television,2214,<100DM,"[1,4years]",4,male:single,none,3,life insurance,24,none,own,1,0,1,no,yes,0
no checking account,21,critical account,car(new),12680,unknown,>=7years,4,male:single,none,4,no property,30,none,for free,1,0,1,yes,yes,1
no checking account,24,critical account,car(new),2463,"[100,500DM]","[4,7years]",4,male:married/widowed,none,3,life insurance,27,none,own,2,0,1,yes,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,radio/television,1155,<100DM,>=7years,3,male:married/widowed,guarantor,3,real estate,40, bank,own,2,0,1,no,yes,0
<0DM,30,existing credits paid back duly till now,furniture/equipment,3108,<100DM,<1year,2,male:divorced/separated,none,4,life insurance,31,none,own,1,0,1,no,yes,1
no checking account,10,existing credits paid back duly till now,car(used),2901,unknown,<1year,1,female:divorced/separated/married,none,4,real estate,31,none,rent,1,1,1,no,yes,0
"[0DM,200DM]",12,critical account,furniture/equipment,3617,<100DM,>=7years,1,male:single,none,4,car or other,28,none,rent,3,0,1,yes,yes,0
no checking account,12,critical account,radio/television,1655,<100DM,>=7years,2,male:single,none,4,real estate,63,none,own,2,0,1,yes,yes,0
<0DM,24,existing credits paid back duly till now,car(used),2812,unknown,>=7years,2,female:divorced/separated/married,none,4,real estate,26,none,rent,1,1,1,no,yes,0
<0DM,36,critical account,education,8065,<100DM,"[1,4years]",3,female:divorced/separated/married,none,2,no property,25,none,own,2,0,1,yes,yes,1
no checking account,21,critical account,car(used),3275,<100DM,>=7years,1,male:single,none,4,car or other,36,none,own,1,1,1,yes,yes,0
no checking account,24,critical account,radio/television,2223,"[100,500DM]",>=7years,4,male:single,none,4,life insurance,52, bank,own,2,0,1,no,yes,0
>=200DM,12,critical account,car(new),1480,"[500,1000DM]",unemployed,2,male:single,none,4,no property,66, bank,for free,3,0,1,no,yes,0
<0DM,24,existing credits paid back duly till now,car(new),1371,unknown,"[1,4years]",4,female:divorced/separated/married,none,4,real estate,25,none,rent,1,0,1,no,yes,1
no checking account,36,critical account,car(new),3535,<100DM,"[4,7years]",4,male:single,none,4,car or other,37,none,own,2,0,1,yes,yes,0
<0DM,18,existing credits paid back duly till now,radio/television,3509,<100DM,"[4,7years]",4,female:divorced/separated/married,guarantor,1,real estate,25,none,own,1,0,1,no,yes,0
no checking account,36,critical account,car(used),5711,>=1000DM,>=7years,4,male:single,none,2,car or other,38,none,own,2,1,1,yes,yes,0
"[0DM,200DM]",18,existing credits paid back duly till now,repairs,3872,<100DM,unemployed,2,female:divorced/separated/married,none,4,car or other,67,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",39,critical account,radio/television,4933,<100DM,"[4,7years]",2,male:single,guarantor,2,real estate,25,none,own,2,0,1,no,yes,1
no checking account,24,critical account,car(new),1940,>=1000DM,>=7years,4,male:single,none,4,real estate,60,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",12,nocreditstaken,retraining,1410,<100DM,"[1,4years]",2,male:single,none,2,real estate,31,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,car(new),836,"[100,500DM]",<1year,4,female:divorced/separated/married,none,2,life insurance,23, bank,own,1,0,1,no,yes,1
"[0DM,200DM]",20,existing credits paid back duly till now,car(used),6468,unknown,unemployed,1,male:divorced/separated,none,4,real estate,60,none,own,1,1,1,yes,yes,0
"[0DM,200DM]",18,existing credits paid back duly till now,business,1941,>=1000DM,"[1,4years]",4,male:single,none,2,life insurance,35,none,own,1,0,1,yes,yes,0
no checking account,22,existing credits paid back duly till now,radio/television,2675,"[500,1000DM]",>=7years,3,male:single,none,4,car or other,40,none,own,1,0,1,no,yes,0
no checking account,48,critical account,car(used),2751,unknown,>=7years,4,male:single,none,3,car or other,38,none,own,2,1,2,yes,yes,0
"[0DM,200DM]",48,delay in paying off in the past,education,6224,<100DM,>=7years,4,male:single,none,4,no property,50,none,for free,1,0,1,no,yes,1
<0DM,40,critical account,education,5998,<100DM,"[1,4years]",4,male:single,none,3,no property,27, bank,own,1,0,1,yes,yes,1
"[0DM,200DM]",21,existing credits paid back duly till now,business,1188,<100DM,>=7years,2,female:divorced/separated/married,none,4,life insurance,39,none,own,1,0,2,no,yes,1
no checking account,24,existing credits paid back duly till now,car(used),6313,unknown,>=7years,3,male:single,none,4,car or other,41,none,own,1,1,2,yes,yes,0
no checking account,6,critical account,furniture/equipment,1221,unknown,"[1,4years]",1,male:married/widowed,none,2,life insurance,27,none,own,2,0,1,no,yes,0
>=200DM,24,existing credits paid back duly till now,furniture/equipment,2892,<100DM,>=7years,3,male:divorced/separated,none,4,no property,51,none,for free,1,0,1,no,yes,0
no checking account,24,existing credits paid back duly till now,furniture/equipment,3062,"[500,1000DM]",>=7years,4,male:single,none,3,no property,32,none,rent,1,0,1,yes,yes,0
no checking account,9,existing credits paid back duly till now,furniture/equipment,2301,"[100,500DM]",<1year,2,female:divorced/separated/married,none,4,life insurance,22,none,rent,1,0,1,no,yes,0
<0DM,18,existing credits paid back duly till now,car(used),7511,unknown,>=7years,1,male:single,none,4,life insurance,51,none,for free,1,1,2,yes,yes,1
no checking account,12,critical account,furniture/equipment,1258,<100DM,<1year,2,female:divorced/separated/married,none,4,life insurance,22,none,rent,2,0,1,no,yes,0
no checking account,24,delay in paying off in the past,car(new),717,unknown,>=7years,4,male:married/widowed,none,4,car or other,54,none,own,2,0,1,yes,yes,0
"[0DM,200DM]",9,existing credits paid back duly till now,car(new),1549,unknown,<1year,4,male:single,none,2,real estate,35,none,own,1,0,1,no,yes,0
no checking account,24,critical account,education,1597,<100DM,>=7years,4,male:single,none,4,no property,54,none,for free,2,0,2,no,yes,0
"[0DM,200DM]",18,critical account,radio/television,1795,<100DM,>=7years,3,female:divorced/separated/married,guarantor,4,real estate,48, bank,rent,2,0,1,yes,yes,0
<0DM,20,critical account,furniture/equipment,4272,<100DM,>=7years,1,female:divorced/separated/married,none,4,life insurance,24,none,own,2,0,1,no,yes,0
no checking account,12,critical account,radio/television,976,unknown,>=7years,4,male:single,none,4,car or other,35,none,own,2,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,car(new),7472,unknown,unemployed,1,female:divorced/separated/married,none,2,real estate,24,none,rent,1,0,1,no,yes,0
<0DM,36,existing credits paid back duly till now,car(new),9271,<100DM,"[4,7years]",2,male:single,none,1,car or other,24,none,own,1,0,1,yes,yes,1
"[0DM,200DM]",6,existing credits paid back duly till now,radio/television,590,<100DM,<1year,3,male:married/widowed,none,3,real estate,26,none,own,1,0,1,no,no,0
no checking account,12,critical account,radio/television,930,unknown,>=7years,4,male:single,none,4,real estate,65,none,own,4,0,1,no,yes,0
"[0DM,200DM]",42,all credits at this bank paid back duly,car(used),9283,<100DM,unemployed,1,male:single,none,2,no property,55, bank,for free,1,1,1,yes,yes,0
"[0DM,200DM]",15,nocreditstaken,car(new),1778,<100DM,<1year,2,female:divorced/separated/married,none,1,real estate,26,none,rent,2,0,1,no,yes,1
"[0DM,200DM]",8,existing credits paid back duly till now,business,907,<100DM,<1year,3,male:married/widowed,none,2,real estate,26,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",6,existing credits paid back duly till now,radio/television,484,<100DM,"[4,7years]",3,male:married/widowed,guarantor,3,real estate,28, bank,own,1,0,1,no,yes,0
<0DM,36,critical account,car(used),9629,<100DM,"[4,7years]",4,male:single,none,4,car or other,24,none,own,2,1,1,yes,yes,1
<0DM,48,existing credits paid back duly till now,domesticappliances,3051,<100DM,"[1,4years]",3,male:single,none,4,car or other,54,none,own,1,0,1,no,yes,1
<0DM,48,existing credits paid back duly till now,car(new),3931,<100DM,"[4,7years]",4,male:single,none,4,no property,46,none,for free,1,0,2,no,yes,1
"[0DM,200DM]",36,delay in paying off in the past,car(new),7432,<100DM,"[1,4years]",2,female:divorced/separated/married,none,2,life insurance,54,none,rent,1,0,1,no,yes,0
no checking account,6,existing credits paid back duly till now,domesticappliances,1338,"[500,1000DM]","[1,4years]",1,male:divorced/separated,none,4,real estate,62,none,own,1,0,1,no,yes,0
no checking account,6,critical account,radio/television,1554,<100DM,"[4,7years]",1,female:divorced/separated/married,none,2,car or other,24,none,rent,2,0,1,yes,yes,0
<0DM,36,existing credits paid back duly till now,car(used)0,15857,<100DM,unemployed,2,male:divorced/separated,co-applicant,3,car or other,43,none,own,1,0,1,no,yes,0
<0DM,18,existing credits paid back duly till now,radio/television,1345,<100DM,"[1,4years]",4,male:married/widowed,none,3,real estate,26, bank,own,1,0,1,no,yes,1
no checking account,12,existing credits paid back duly till now,car(new),1101,<100DM,"[1,4years]",3,male:married/widowed,none,2,real estate,27,none,own,2,0,1,yes,yes,0
>=200DM,12,existing credits paid back duly till now,radio/television,3016,<100DM,"[1,4years]",3,male:married/widowed,none,1,car or other,24,none,own,1,0,1,no,yes,0
<0DM,36,existing credits paid back duly till now,furniture/equipment,2712,<100DM,>=7years,2,male:single,none,2,life insurance,41, bank,own,1,0,2,no,yes,1
<0DM,8,critical account,car(new),731,<100DM,>=7years,4,male:single,none,4,real estate,47,none,own,2,0,1,no,yes,0
no checking account,18,critical account,furniture/equipment,3780,<100DM,<1year,3,male:divorced/separated,none,2,car or other,35,none,own,2,0,1,yes,yes,0
<0DM,21,critical account,car(new),1602,<100DM,>=7years,4,male:married/widowed,none,3,car or other,30,none,own,2,0,1,yes,yes,0
<0DM,18,critical account,car(new),3966,<100DM,>=7years,1,female:divorced/separated/married,none,4,real estate,33, bank,rent,3,0,1,yes,yes,1
no checking account,18,nocreditstaken,business,4165,<100DM,"[1,4years]",2,male:single,none,2,car or other,36,stores,own,2,0,2,no,yes,1
<0DM,36,existing credits paid back duly till now,car(used),8335,unknown,>=7years,3,male:single,none,4,no property,47,none,for free,1,1,1,no,yes,1
"[0DM,200DM]",48,delay in paying off in the past,business,6681,unknown,"[1,4years]",4,male:single,none,4,no property,38,none,for free,1,0,2,yes,yes,0
no checking account,24,delay in paying off in the past,business,2375,"[500,1000DM]","[1,4years]",4,male:single,none,2,car or other,44,none,own,2,0,2,yes,yes,0
<0DM,18,existing credits paid back duly till now,car(new),1216,<100DM,<1year,4,female:divorced/separated/married,none,3,car or other,23,none,rent,1,0,1,yes,yes,1
<0DM,45,nocreditstaken,business,11816,<100DM,>=7years,2,male:single,none,4,car or other,29,none,rent,2,0,1,no,yes,1
"[0DM,200DM]",24,existing credits paid back duly till now,radio/television,5084,unknown,>=7years,2,female:divorced/separated/married,none,4,car or other,42,none,own,1,0,1,yes,yes,0
>=200DM,15,existing credits paid back duly till now,radio/television,2327,<100DM,<1year,2,female:divorced/separated/married,none,3,real estate,25,none,own,1,0,1,no,yes,1
<0DM,12,nocreditstaken,car(new),1082,<100DM,"[1,4years]",4,male:single,none,4,car or other,48, bank,own,2,0,1,no,yes,1
no checking account,12,existing credits paid back duly till now,radio/television,886,unknown,"[1,4years]",4,female:divorced/separated/married,none,2,car or other,21,none,own,1,0,1,no,yes,0
no checking account,4,existing credits paid back duly till now,furniture/equipment,601,<100DM,<1year,1,female:divorced/separated/married,none,3,real estate,23,none,rent,1,0,2,no,yes,0
<0DM,24,critical account,car(used),2957,<100DM,>=7years,4,male:single,none,4,life insurance,63,none,own,2,1,1,yes,yes,0
no checking account,24,critical account,radio/television,2611,<100DM,>=7years,4,male:married/widowed,co-applicant,3,real estate,46,none,own,2,0,1,no,yes,0
<0DM,36,existing credits paid back duly till now,furniture/equipment,5179,<100DM,"[4,7years]",4,male:single,none,2,life insurance,29,none,own,1,0,1,no,yes,1
no checking account,21,delay in paying off in the past,car(used),2993,<100DM,"[1,4years]",3,male:single,none,2,real estate,28,stores,own,2,1,1,no,yes,0
no checking account,18,existing credits paid back duly till now,repairs,1943,<100DM,<1year,4,female:divorced/separated/married,none,4,real estate,23,none,own,1,0,1,no,yes,1
no checking account,24,all credits at this bank paid back duly,business,1559,<100DM,"[4,7years]",4,male:single,none,4,car or other,50, bank,own,1,0,1,yes,yes,0
no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,<100DM,>=7years,4,male:single,none,4,life insurance,47, bank,own,3,0,2,yes,yes,0
"[0DM,200DM]",21,existing credits paid back duly till now,furniture/equipment,3976,unknown,"[4,7years]",2,male:single,none,3,car or other,35,none,own,1,0,1,yes,yes,0
no checking account,18,existing credits paid back duly till now,car(new),6761,unknown,"[1,4years]",2,male:single,none,4,car or other,68,none,rent,2,0,1,no,yes,1
no checking account,24,existing credits paid back duly till now,car(new),1249,<100DM,<1year,4,male:married/widowed,none,2,real estate,28,none,own,1,0,1,no,yes,0
<0DM,9,existing credits paid back duly till now,radio/television,1364,<100DM,"[4,7years]",3,male:single,none,4,real estate,59,none,own,1,0,1,no,yes,0
<0DM,12,existing credits paid back duly till now,radio/television,709,<100DM,>=7years,4,male:single,none,4,real estate,57,stores,own,1,0,1,no,yes,1
<0DM,20,critical account,car(new),2235,<100DM,"[1,4years]",4,male:married/widowed,guarantor,2,life insurance,33, bank,rent,2,0,1,no,no,1
no checking account,24,critical account,car(used),4042,unknown,"[4,7years]",3,male:single,none,4,life insurance,43,none,own,2,1,1,yes,yes,0
no checking account,15,critical account,radio/television,1471,<100DM,"[1,4years]",4,male:single,none,4,no property,35,none,for free,2,0,1,yes,yes,0
<0DM,18,all credits at this bank paid back duly,car(new),1442,<100DM,"[4,7years]",4,male:single,none,4,no property,32,none,for free,2,0,2,no,yes,1
no checking account,36,delay in paying off in the past,car(new),10875,<100DM,>=7years,2,male:single,none,2,car or other,45,none,own,2,0,2,yes,yes,0
no checking account,24,existing credits paid back duly till now,car(new),1474,"[100,500DM]",<1year,4,male:married/widowed,none,3,real estate,33,none,own,1,0,1,yes,yes,0
no checking account,10,existing credits paid back duly till now,retraining,894,unknown,"[4,7years]",4,female:divorced/separated/married,none,3,life insurance,40,none,own,1,0,1,yes,yes,0
no checking account,15,critical account,furniture/equipment,3343,<100DM,"[1,4years]",4,male:single,none,2,no property,28,none,for free,1,0,1,yes,yes,0
<0DM,15,existing credits paid back duly till now,car(new),3959,<100DM,"[1,4years]",3,female:divorced/separated/married,none,2,life insurance,29,none,own,1,0,1,yes,yes,1
no checking account,9,existing credits paid back duly till now,car(new),3577,"[100,500DM]","[1,4years]",1,male:single,guarantor,2,real estate,26,none,rent,1,0,2,no,no,0
no checking account,24,critical account,car(used),5804,>=1000DM,"[1,4years]",4,male:single,none,2,real estate,27,none,own,2,1,1,no,yes,0
no checking account,18,delay in paying off in the past,business,2169,<100DM,"[1,4years]",4,male:married/widowed,none,2,car or other,28,none,own,1,0,1,yes,yes,1
<0DM,24,existing credits paid back duly till now,radio/television,2439,<100DM,<1year,4,female:divorced/separated/married,none,4,real estate,35,none,own,1,0,1,yes,yes,1
no checking account,27,critical account,furniture/equipment,4526,>=1000DM,<1year,4,male:single,none,2,real estate,32,stores,own,2,0,2,yes,yes,0
no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,<100DM,"[1,4years]",2,male:single,none,2,real estate,25, bank,rent,1,0,1,no,yes,1
no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,"[500,1000DM]","[1,4years]",2,female:divorced/separated/married,none,4,car or other,20,none,rent,1,0,1,no,yes,0
<0DM,18,existing credits paid back duly till now,radio/television,2389,<100DM,<1year,4,female:divorced/separated/married,none,1,car or other,27,stores,own,1,0,1,no,yes,0
no checking account,12,critical account,furniture/equipment,3331,<100DM,>=7years,2,male:single,none,4,life insurance,42,stores,own,1,0,1,no,yes,0
no checking account,36,existing credits paid back duly till now,business,7409,unknown,>=7years,3,male:single,none,2,life insurance,37,none,own,2,0,1,no,yes,0
<0DM,12,existing credits paid back duly till now,furniture/equipment,652,<100DM,>=7years,4,female:divorced/separated/married,none,4,life insurance,24,none,rent,1,0,1,no,yes,0
no checking account,36,delay in paying off in the past,furniture/equipment,7678,"[500,1000DM]","[4,7years]",2,female:divorced/separated/married,none,4,car or other,40,none,own,2,0,1,yes,yes,0
>=200DM,6,critical account,car(new),1343,<100DM,>=7years,1,male:single,none,4,real estate,46,none,own,2,0,2,no,no,0
<0DM,24,critical account,business,1382,"[100,500DM]","[4,7years]",4,male:single,none,1,real estate,26,none,own,2,0,1,yes,yes,0
no checking account,15,existing credits paid back duly till now,domesticappliances,874,unknown,<1year,4,female:divorced/separated/married,none,1,real estate,24,none,own,1,0,1,no,yes,0
<0DM,12,existing credits paid back duly till now,furniture/equipment,3590,<100DM,"[1,4years]",2,male:single,co-applicant,2,life insurance,29,none,own,1,0,2,no,yes,0
"[0DM,200DM]",11,critical account,car(new),1322,>=1000DM,"[1,4years]",4,female:divorced/separated/married,none,4,car or other,40,none,own,2,0,1,no,yes,0
<0DM,18,all credits at this bank paid back duly,radio/television,1940,<100DM,<1year,3,male:single,co-applicant,4,no property,36, bank,for free,1,0,1,yes,yes,0
no checking account,36,existing credits paid back duly till now,radio/television,3595,<100DM,>=7years,4,male:single,none,2,car or other,28,none,own,1,0,1,no,yes,0
<0DM,9,existing credits paid back duly till now,car(new),1422,<100DM,<1year,3,male:single,none,2,no property,27,none,for free,1,0,1,yes,yes,1
no checking account,30,critical account,radio/television,6742,unknown,"[4,7years]",2,male:single,none,3,life insurance,36,none,own,2,0,1,no,yes,0
no checking account,24,existing credits paid back duly till now,car(used),7814,<100DM,"[4,7years]",3,male:single,none,3,car or other,38,none,own,1,1,1,yes,yes,0
no checking account,24,existing credits paid back duly till now,car(used),9277,unknown,"[1,4years]",2,male:divorced/separated,none,4,no property,48,none,for free,1,1,1,yes,yes,0
"[0DM,200DM]",30,critical account,car(new),2181,unknown,>=7years,4,male:single,none,4,real estate,36,none,own,2,0,1,no,yes,0
no checking account,18,critical account,radio/television,1098,<100DM,unemployed,4,female:divorced/separated/married,none,4,car or other,65,none,own,2,0,1,no,yes,0
"[0DM,200DM]",24,existing credits paid back duly till now,furniture/equipment,4057,<100DM,"[4,7years]",3,male:divorced/separated,none,3,car or other,43,none,own,1,0,1,yes,yes,1
<0DM,12,existing credits paid back duly till now,education,795,<100DM,<1year,4,female:divorced/separated/married,none,4,life insurance,53,none,own,1,0,1,no,yes,1
"[0DM,200DM]",24,critical account,business,2825,unknown,"[4,7years]",4,male:single,none,3,no property,34,none,own,2,0,2,yes,yes,0
"[0DM,200DM]",48,existing credits paid back duly till now,business,15672,<100DM,"[1,4years]",2,male:single,none,2,car or other,23,none,own,1,0,1,yes,yes,1
no checking account,36,critical account,car(new),6614,<100DM,>=7years,4,male:single,none,4,car or other,34,none,own,2,0,1,yes,yes,0
no checking account,28,all credits at this bank paid back duly,car(used),7824,unknown,<1year,3,male:single,guarantor,4,real estate,40, bank,rent,2,1,2,yes,yes,0
<0DM,27,critical account,business,2442,<100DM,>=7years,4,male:single,none,4,car or other,43,stores,own,4,0,2,yes,yes,0
no checking account,15,critical account,radio/television,1829,<100DM,>=7years,4,male:single,none,4,car or other,46,none,own,2,0,1,yes,yes,0
<0DM,12,critical account,car(new),2171,<100DM,"[1,4years]",4,male:single,none,4,life insurance,38, bank,own,2,0,1,no,no,0
"[0DM,200DM]",36,critical account,car(used),5800,<100DM,"[1,4years]",3,male:single,none,4,car or other,34,none,own,2,1,1,yes,yes,0
no checking account,18,critical account,radio/television,1169,unknown,"[1,4years]",4,male:single,none,3,life insurance,29,none,own,2,0,1,yes,yes,0
no checking account,36,delay in paying off in the past,car(used),8947,unknown,"[4,7years]",3,male:single,none,2,car or other,31,stores,own,1,1,2,yes,yes,0
<0DM,21,existing credits paid back duly till now,radio/television,2606,<100DM,<1year,4,female:divorced/separated/married,none,4,life insurance,28,none,rent,1,0,1,yes,yes,0
no checking account,12,critical account,furniture/equipment,1592,>=1000DM,"[4,7years]",3,female:divorced/separated/married,none,2,life insurance,35,none,own,1,0,1,no,no,0
no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,unknown,"[4,7years]",1,female:divorced/separated/married,none,4,real estate,33, bank,rent,1,0,1,no,yes,0
<0DM,18,existing credits paid back duly till now,furniture/equipment,4153,<100DM,"[1,4years]",2,male:single,co-applicant,3,car or other,42,none,own,1,0,1,no,yes,1
<0DM,16,critical account,car(new),2625,<100DM,>=7years,2,male:single,guarantor,4,life insurance,43, bank,rent,1,0,1,yes,yes,1
no checking account,20,critical account,car(new),3485,unknown,<1year,2,male:divorced/separated,none,4,real estate,44,none,own,2,0,1,yes,yes,0
no checking account,36,critical account,car(used),10477,unknown,>=7years,2,male:single,none,4,no property,42,none,for free,2,1,1,no,yes,0
no checking account,15,existing credits paid back duly till now,radio/television,1386,unknown,"[1,4years]",4,male:married/widowed,none,2,real estate,40,none,rent,1,0,1,yes,yes,0
no checking account,24,existing credits paid back duly till now,radio/television,1278,<100DM,>=7years,4,male:single,none,1,real estate,36,none,own,1,0,1,yes,yes,0
<0DM,12,existing credits paid back duly till now,radio/television,1107,<100DM,"[1,4years]",2,male:single,none,2,real estate,20,none,rent,1,0,2,yes,yes,0
<0DM,21,existing credits paid back duly till now,car(new),3763,unknown,"[4,7years]",2,male:single,co-applicant,2,real estate,24,none,own,1,0,1,no,no,0
"[0DM,200DM]",36,existing credits paid back duly till now,education,3711,unknown,"[1,4years]",2,male:married/widowed,none,2,car or other,27,none,own,1,0,1,no,yes,0
no checking account,15,delay in paying off in the past,car(used),3594,<100DM,<1year,1,female:divorced/separated/married,none,2,life insurance,46,none,own,2,1,1,no,yes,0
"[0DM,200DM]",9,existing credits paid back duly till now,car(new),3195,unknown,"[1,4years]",1,female:divorced/separated/married,none,2,real estate,33,none,own,1,0,1,no,yes,0
no checking account,36,delay in paying off in the past,radio/television,4454,<100DM,"[1,4years]",4,female:divorced/separated/married,none,4,real estate,34,none,own,2,0,1,no,yes,0
"[0DM,200DM]",24,critical account,furniture/equipment,4736,<100DM,<1year,2,female:divorced/separated/married,none,4,car or other,25, bank,own,1,0,1,no,yes,1
"[0DM,200DM]",30,existing credits paid back duly till now,radio/television,2991,unknown,>=7years,2,female:divorced/separated/married,none,4,car or other,25,none,own,1,0,1,no,yes,0
no checking account,11,existing credits paid back duly till now,business,2142,>=1000DM,>=7years,1,male:divorced/separated,none,2,real estate,28,none,own,1,0,1,yes,yes,0
<0DM,24,all credits at this bank paid back duly,business,3161,<100DM,"[1,4years]",4,male:single,none,2,life insurance,31,none,rent,1,0,1,yes,yes,1
"[0DM,200DM]",48,nocreditstaken,car(used)0,18424,<100DM,"[1,4years]",1,female:divorced/separated/married,none,2,life insurance,32, bank,own,1,0,1,yes,no,1
no checking account,10,existing credits paid back duly till now,car(used),2848,"[100,500DM]","[1,4years]",1,male:single,co-applicant,2,real estate,32,none,own,1,1,2,no,yes,0
<0DM,6,existing credits paid back duly till now,car(new),14896,<100DM,>=7years,1,male:single,none,4,no property,68, bank,own,1,0,1,yes,yes,1
<0DM,24,existing credits paid back duly till now,furniture/equipment,2359,"[100,500DM]",unemployed,1,male:divorced/separated,none,1,life insurance,33,none,own,1,0,1,no,yes,1
<0DM,24,existing credits paid back duly till now,furniture/equipment,3345,<100DM,>=7years,4,male:single,none,2,life insurance,39,none,rent,1,0,1,yes,yes,1
no checking account,18,critical account,furniture/equipment,1817,<100DM,"[1,4years]",4,female:divorced/separated/married,none,2,no property,28,none,own,2,0,1,no,yes,0
no checking account,48,delay in paying off in the past,radio/television,12749,"[500,1000DM]","[4,7years]",4,male:single,none,1,car or other,37,none,own,1,0,1,yes,yes,0
<0DM,9,existing credits paid back duly till now,radio/television,1366,<100DM,<1year,3,female:divorced/separated/married,none,4,life insurance,22,none,rent,1,0,1,no,yes,1
